"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
35,"Z3",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z3",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z3",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z3",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z3",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
40,"Z3",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z3",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z3",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z3",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
44,"Z3",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z3",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z3",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z3",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z3",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z3",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z3",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z3",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z3",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z3",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z4.1",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
2,"Z4.1",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
3,"Z4.1",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
4,"Z4.1",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
5,"Z4.1",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
6,"Z4.1",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
7,"Z4.1",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
8,"Z4.1",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
9,"Z4.1",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
10,"Z4.1",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
11,"Z4.1",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
12,"Z4.1",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
13,"Z4.1",2025-03-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
14,"Z4.1",2025-04-02,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
15,"Z4.1",2025-04-09,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
16,"Z4.1",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
17,"Z4.1",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
18,"Z4.1",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"eDNA",3,"eDNA"
19,"Z4.1",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
20,"Z4.1",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
21,"Z4.1",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
22,"Z4.1",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
23,"Z4.1",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
24,"Z4.1",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
25,"Z4.1",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
26,"Z4.1",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
27,"Z4.1",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
28,"Z4.1",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
29,"Z4.1",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
30,"Z4.1",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
31,"Z4.1",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
32,"Z4.1",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
33,"Z4.1",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
34,"Z4.1",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
35,"Z4.1",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z4.1",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z4.1",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z4.1",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z4.1",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
40,"Z4.1",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z4.1",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z4.1",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z4.1",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
44,"Z4.1",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z4.1",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z4.1",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z4.1",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z4.1",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z4.1",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z4.1",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z4.1",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z4.1",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z4.1",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z4.2",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
2,"Z4.2",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
3,"Z4.2",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
4,"Z4.2",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
5,"Z4.2",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
6,"Z4.2",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
7,"Z4.2",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
8,"Z4.2",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
9,"Z4.2",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
10,"Z4.2",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
11,"Z4.2",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
12,"Z4.2",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
13,"Z4.2",2025-03-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
14,"Z4.2",2025-04-02,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
15,"Z4.2",2025-04-09,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
16,"Z4.2",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
17,"Z4.2",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
18,"Z4.2",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"eDNA",3,"eDNA"
19,"Z4.2",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
20,"Z4.2",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
21,"Z4.2",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
22,"Z4.2",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
23,"Z4.2",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
24,"Z4.2",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
25,"Z4.2",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
26,"Z4.2",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
27,"Z4.2",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
28,"Z4.2",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
29,"Z4.2",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
30,"Z4.2",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
31,"Z4.2",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
32,"Z4.2",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
33,"Z4.2",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
34,"Z4.2",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
35,"Z4.2",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z4.2",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z4.2",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z4.2",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z4.2",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
40,"Z4.2",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z4.2",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z4.2",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z4.2",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
44,"Z4.2",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z4.2",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z4.2",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z4.2",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z4.2",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z4.2",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z4.2",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z4.2",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z4.2",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z4.2",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z4.3",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
2,"Z4.3",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
3,"Z4.3",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
4,"Z4.3",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
5,"Z4.3",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
6,"Z4.3",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
7,"Z4.3",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
8,"Z4.3",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
9,"Z4.3",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
10,"Z4.3",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
11,"Z4.3",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
12,"Z4.3",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
13,"Z4.3",2025-03-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
14,"Z4.3",2025-04-02,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
15,"Z4.3",2025-04-09,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
16,"Z4.3",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
17,"Z4.3",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
18,"Z4.3",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"eDNA",3,"eDNA"
19,"Z4.3",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
20,"Z4.3",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
21,"Z4.3",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
22,"Z4.3",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
23,"Z4.3",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
24,"Z4.3",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
25,"Z4.3",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
26,"Z4.3",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
27,"Z4.3",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
28,"Z4.3",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
29,"Z4.3",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
30,"Z4.3",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
31,"Z4.3",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
32,"Z4.3",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
33,"Z4.3",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
34,"Z4.3",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
35,"Z4.3",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z4.3",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z4.3",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z4.3",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z4.3",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
40,"Z4.3",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z4.3",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z4.3",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z4.3",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
44,"Z4.3",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z4.3",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z4.3",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z4.3",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z4.3",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z4.3",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z4.3",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z4.3",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z4.3",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z4.3",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z5",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
2,"Z5",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
3,"Z5",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
4,"Z5",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
5,"Z5",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
6,"Z5",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
7,"Z5",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
8,"Z5",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
9,"Z5",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
10,"Z5",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
11,"Z5",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
12,"Z5",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
13,"Z5",2025-03-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
14,"Z5",2025-04-02,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
15,"Z5",2025-04-09,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
16,"Z5",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
17,"Z5",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
18,"Z5",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"eDNA",3,"eDNA"
19,"Z5",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
20,"Z5",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
21,"Z5",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
22,"Z5",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
23,"Z5",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
24,"Z5",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
25,"Z5",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
26,"Z5",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
27,"Z5",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
28,"Z5",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
29,"Z5",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
